Day,InitialCondition,Radius,
10,10000,210.64
10,10000,214.01
10,10000,188.62
10,2500,0
10,2500,28.601
10,2500,11.156
10,2500,28.344
10,2500,0
10,5000,192.54
10,5000,94.237
10,5000,190.31
10,5000,128.15
10,5000,129.85
12,10000,264.58
12,10000,230.07
12,10000,247.98
12,10000,237.65
12,10000,235.44
12,2500,42.142
12,2500,5.9249
12,2500,117.33
12,2500,117.29
12,5000,156.86
12,5000,173.56
12,5000,193.99
12,5000,221.51
12,5000,184.93
21,2500,193.09
21,2500,264.26
21,2500,280.65
21,2500,261.07
21,5000,289.06
21,5000,281.41
21,5000,297.32
24,10000,332.15
24,10000,300.8
24,10000,343.01
24,10000,331.25
24,10000,335.54
24,10000,309.97
24,10000,313.77
24,10000,259.38
24,2500,299.68
24,2500,281.96
24,2500,306.7
24,2500,312.1
24,2500,289.74
24,2500,281.53
24,2500,310.77
24,2500,291.04
24,2500,292.41
24,2500,290.02
24,2500,306.59
24,5000,317.86
24,5000,293.99
24,5000,316.19
24,5000,316.9
24,5000,299.38
24,5000,295.45
24,5000,339.13
24,5000,328.92
24,5000,297.73
7,10000,150.4
7,10000,157.76
7,10000,133.73
7,10000,130.16
7,10000,116.03
7,10000,68.053
7,10000,130.69
7,10000,124.92
7,10000,139.93
7,10000,59.638
7,10000,153.27
7,2500,22.261
7,2500,0
7,2500,13.681
7,2500,32.422
7,2500,0
7,2500,0
7,2500,39.4
7,2500,47.344
7,2500,48.949
7,2500,33.693
7,5000,23.149
7,5000,87.439
7,5000,76.596
7,5000,76.118
7,5000,88.239
7,5000,61.688
7,5000,107.08
7,5000,155.85
7,5000,132.26
7,5000,34.864
7,5000,58.184
7,5000,86.559
7,5000,80.607
7,5000,35.756
10,10000,157.45
10,10000,210.77
10,10000,188.19
10,1250,0
10,1250,0
10,1250,0
10,1250,22.976
10,1250,13.664
10,1250,0
10,1250,15.448
10,2500,35.948
10,2500,24.931
10,2500,0
10,5000,119.03
10,5000,80.66
10,5000,105.96
10,5000,110.33
14,10000,243.75
14,10000,252.96
14,10000,251.64
14,10000,246.48
14,10000,242
14,10000,251.24
14,10000,249.95
14,1250,26.723
14,1250,22.01
14,1250,39.306
14,1250,0
14,2500,53.176
14,2500,71.955
14,2500,102.11
14,2500,34.887
14,5000,151.02
14,5000,204.56
14,5000,192.88
14,5000,207.02
21,10000,293.33
21,10000,298.33
21,10000,281.8
21,10000,283.18
21,10000,281.09
21,1250,170.49
21,1250,91.37
21,1250,189.73
21,2500,240.99
21,2500,223.09
21,2500,249.12
21,2500,257.57
21,2500,195.79
21,2500,259.46
21,2500,250.14
21,5000,293.8
21,5000,271.41
21,5000,278.48
16,10000,271.76
16,10000,238.77
16,10000,255.95
16,10000,248.56
16,10000,244.27
16,10000,262.91
16,10000,241.96
16,10000,249.23
16,1250,140.95
16,1250,17.69
16,1250,0
16,1250,31.219
16,1250,103.73
16,1250,15.18
16,1250,49.759
16,1250,34.44
16,2500,175.37
16,2500,183.15
16,2500,178.33
16,2500,174.05
16,2500,193.5
16,2500,181.58
16,5000,252.58
16,5000,245.89
16,5000,247.94
16,5000,243.86
16,5000,253.89
16,5000,227.44
16,5000,239.38
16,5000,271.65
3,5000,79.248
3,5000,43.986
3,5000,0
3,5000,124.71
3,5000,42.631
3,5000,56.206
3,5000,59.361
4,10000,84.917
4,10000,129.88
4,10000,178.09
4,10000,136.54
4,10000,144.07
4,10000,137.12
4,10000,174
4,5000,117.97
4,5000,0
4,5000,82.004
4,5000,16.489
4,5000,109.43
4,5000,108.03
4,5000,116.78
4,5000,80.904
5,10000,110.14
5,10000,86.97
5,10000,69.47
5,10000,57.974
5,10000,70.441
5,10000,87.155
5,10000,70.8
5,10000,46.487
5,10000,88.422
5,10000,0
5,10000,89.516
5,5000,41.957
5,5000,27.938
5,5000,0
5,5000,66.639
5,5000,59.249
5,5000,57.178
5,5000,67.156
5,5000,44.465
18,10000,266.47
18,10000,260.98
18,10000,247.21
18,10000,270.35
18,10000,267.27
18,10000,260.56
18,10000,252.04
18,10000,271.9
18,10000,263.74
18,10000,268.79
18,10000,245.18
18,10000,257.53
18,10000,268.17
18,1250,106.31
18,1250,24.748
18,1250,36.493
18,1250,0
18,1250,131.81
18,1250,42.838
18,1250,165.02
18,1250,57.242
18,1250,15.827
18,1250,0
18,1250,166.53
18,1250,36.176
18,1250,74.789
18,1250,177.55
18,1250,158
18,2500,212.71
18,2500,220.79
18,2500,218.35
18,2500,209.05
18,2500,228.51
18,2500,203.66
18,2500,228.07
18,2500,210.2
18,2500,224.46
18,2500,214.27
18,2500,221.26
18,5000,254.15
18,5000,245.8
18,5000,255.76
18,5000,252.7
18,5000,274.92
18,5000,255.87
18,5000,270.22
18,5000,255.47
18,5000,266.76
18,5000,260.23
18,5000,259.2
18,5000,275.07
18,5000,261.25
18,5000,256.8
4,2500,48.293
4,2500,22.106
4,2500,19.963
4,2500,86.986
4,2500,73.171
5,1250,21.181
5,1250,0
5,1250,0
5,1250,0
5,2500,12.816
5,2500,38.687
5,2500,40.959
5,2500,35.181
5,2500,0
5,2500,22.703
5,2500,37.97
5,2500,23.433
5,2500,32.787
5,2500,0
16,10000,209.93
16,10000,256.26
16,10000,248.09
16,1250,0
16,1250,13.797
16,1250,27.08
16,1250,20.82
16,2500,38.376
16,2500,35.62
16,2500,189.99
16,2500,59.653
16,2500,176.75
16,2500,162.96
16,5000,218.56
16,5000,247.03
16,5000,216.99
16,5000,253.51
21,1250,215.14
21,1250,194.76
21,1250,190.23
21,1250,0
